ClubName;managedBy;players;totalPlayers;tourenaments;stadium
MCA;Patrice Beaumelle;null;22;Algerian Ligue 1,Algerian Cup;Stade 5 Juillet 1962
CRB;Marcos Paqueta;null;35;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup
Arab Club Champions Cup
Arab Club Champions Cup";Stade du 20 Ao–t 1955
CSC;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
USMA;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
ESS;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
JSK;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
PAC;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
ASO;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
SAOURA;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
USMK;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
MAGRA;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
EL BAYADH;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
MCO;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
BISKRA;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
AKNOUN;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
USS;Unknown;null;24;"Algerian Ligue 1
CAF Champions League
CAF Champions League
Algerian Cup
Algerian Cup";Stade Mohamed Hamlaoui
